,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_log_reg__C,param_log_reg__penalty,param_tfidf_vectorizer__ngram_range,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
24,0.07101788520812988,0.00384345119316537,0.010031032562255859,0.0013255208093571136,1,l2,"(1, 1)","{'log_reg__C': 1, 'log_reg__penalty': 'l2', 'tfidf_vectorizer__ngram_range': (1, 1)}",0.8069599474720945,0.8056467498358503,0.8168089297439265,0.7989487516425755,0.7989487516425755,0.8054626260674045,0.006570777733507483,3,0.8866995073891626,0.8862068965517241,0.8855500821018062,0.8863897553767854,0.8862255787227056,0.8862143640284368,0.00037618564995383236
25,0.20563874244689942,0.01338433042479724,0.020630836486816406,0.0010453665685469995,1,l2,"(1, 2)","{'log_reg__C': 1, 'log_reg__penalty': 'l2', 'tfidf_vectorizer__ngram_range': (1, 2)}",0.8003939592908733,0.7951411687458962,0.8102429415627052,0.7923784494086727,0.78580814717477,0.7967929332365835,0.008206724448156026,12,0.9072249589490968,0.9054187192118227,0.9042692939244663,0.9067476604826794,0.9100311935642752,0.9067383652264681,0.00194511475308237
26,0.390279483795166,0.05745490668303162,0.03061652183532715,0.0031818186931719694,1,l2,"(1, 3)","{'log_reg__C': 1, 'log_reg__penalty': 'l2', 'tfidf_vectorizer__ngram_range': (1, 3)}",0.7977675640183848,0.7912015758371634,0.8069599474720945,0.7877792378449409,0.78580814717477,0.7939032944694706,0.007690819587132376,17,0.9157635467980295,0.9141215106732348,0.9141215106732348,0.9131505499917911,0.9182400262682646,0.915079428880911,0.0017895910998636919
27,0.04898114204406738,0.0033029584498579815,0.0,0.0,1,elasticnet,"(1, 1)","{'log_reg__C': 1, 'log_reg__penalty': 'elasticnet', 'tfidf_vectorizer__ngram_range': (1, 1)}",,,,,,,,22,,,,,,,
28,0.11924619674682617,0.003695085594051318,0.0,0.0,1,elasticnet,"(1, 2)","{'log_reg__C': 1, 'log_reg__penalty': 'elasticnet', 'tfidf_vectorizer__ngram_range': (1, 2)}",,,,,,,,22,,,,,,,
29,0.19980649948120116,0.0060480585734515,0.0,0.0,1,elasticnet,"(1, 3)","{'log_reg__C': 1, 'log_reg__penalty': 'elasticnet', 'tfidf_vectorizer__ngram_range': (1, 3)}",,,,,,,,22,,,,,,,
30,0.07497754096984863,0.008292340525830687,0.008324003219604493,0.0032211632268925,1.1,l2,"(1, 1)","{'log_reg__C': 1.1, 'log_reg__penalty': 'l2', 'tfidf_vectorizer__ngram_range': (1, 1)}",0.8095863427445831,0.8076165462902167,0.8161523309258043,0.7982917214191853,0.7963206307490145,0.8055935144257607,0.007359707801035689,2,0.8898193760262726,0.8889983579638752,0.8889983579638752,0.8891807584961419,0.8919717616154983,0.8897937224131327,0.0011300837891702294
31,0.20796728134155273,0.009007997351278033,0.01848468780517578,0.001827946788265255,1.1,l2,"(1, 2)","{'log_reg__C': 1.1, 'log_reg__penalty': 'l2', 'tfidf_vectorizer__ngram_range': (1, 2)}",0.8003939592908733,0.7977675640183848,0.8095863427445831,0.7917214191852825,0.7864651773981604,0.7971868925274568,0.007863782759717903,9,0.9133004926108375,0.9121510673234812,0.9136288998357964,0.9138072566081104,0.9157773764570678,0.9137330185670585,0.0011734904873276929
32,0.36072888374328616,0.019288002803647102,0.027545356750488283,0.00497504442178766,1.1,l2,"(1, 3)","{'log_reg__C': 1.1, 'log_reg__penalty': 'l2', 'tfidf_vectorizer__ngram_range': (1, 3)}",0.7964543663821405,0.7925147734734077,0.8069599474720945,0.78580814717477,0.7838370565045992,0.7931148582014024,0.008278460531226073,19,0.9229885057471264,0.9208538587848932,0.9192118226600985,0.9223444426202594,0.9244787391232967,0.9219754737871348,0.0018069032547557153
33,0.04852085113525391,0.0025437795074747752,0.0,0.0,1.1,elasticnet,"(1, 1)","{'log_reg__C': 1.1, 'log_reg__penalty': 'elasticnet', 'tfidf_vectorizer__ngram_range': (1, 1)}",,,,,,,,22,,,,,,,
34,0.11779146194458008,0.004115929657357862,0.0,0.0,1.1,elasticnet,"(1, 2)","{'log_reg__C': 1.1, 'log_reg__penalty': 'elasticnet', 'tfidf_vectorizer__ngram_range': (1, 2)}",,,,,,,,22,,,,,,,
35,0.19323158264160156,0.00251819190367844,0.0,0.0,1.1,elasticnet,"(1, 3)","{'log_reg__C': 1.1, 'log_reg__penalty': 'elasticnet', 'tfidf_vectorizer__ngram_range': (1, 3)}",,,,,,,,22,,,,,,,
36,0.09324841499328614,0.0218010498565154,0.010355281829833984,0.000909314500534526,1.2,l2,"(1, 1)","{'log_reg__C': 1.2, 'log_reg__penalty': 'l2', 'tfidf_vectorizer__ngram_range': (1, 1)}",0.8102429415627052,0.8095863427445831,0.814182534471438,0.8009198423127464,0.7963206307490145,0.8062504583680974,0.006587910473222306,1,0.8935960591133005,0.8931034482758621,0.893431855500821,0.8950911180430143,0.8957478246593334,0.8941940611184662,0.001034107580574972
37,0.20386276245117188,0.016499710852646756,0.01987619400024414,0.0017390298974065837,1.2,l2,"(1, 2)","{'log_reg__C': 1.2, 'log_reg__penalty': 'l2', 'tfidf_vectorizer__ngram_range': (1, 2)}",0.8036769533814839,0.7984241628365069,0.8095863427445831,0.7917214191852825,0.7890932982917214,0.7985004352879155,0.007538551412341829,8,0.9180623973727422,0.9177339901477832,0.9178981937602627,0.9197176161549827,0.9215235593498604,0.9189871513571262,0.0014545346969059385
38,0.3736393928527832,0.015165866392614642,0.027428722381591795,0.003464919892907433,1.2,l2,"(1, 3)","{'log_reg__C': 1.2, 'log_reg__penalty': 'l2', 'tfidf_vectorizer__ngram_range': (1, 3)}",0.7964543663821405,0.7964543663821405,0.8089297439264609,0.7884362680683311,0.783180026281209,0.7946909542080564,0.00872450500693197,15,0.9287356321839081,0.9262725779967159,0.9266009852216749,0.9294040387456903,0.9307174519783287,0.9283461372252637,0.001687554384176087
39,0.04753842353820801,0.0021686529662371125,0.0,0.0,1.2,elasticnet,"(1, 1)","{'log_reg__C': 1.2, 'log_reg__penalty': 'elasticnet', 'tfidf_vectorizer__ngram_range': (1, 1)}",,,,,,,,22,,,,,,,
40,0.11821751594543457,0.0022250051979587804,0.0,0.0,1.2,elasticnet,"(1, 2)","{'log_reg__C': 1.2, 'log_reg__penalty': 'elasticnet', 'tfidf_vectorizer__ngram_range': (1, 2)}",,,,,,,,22,,,,,,,
41,0.19620308876037598,0.004398106479474047,0.0,0.0,1.2,elasticnet,"(1, 3)","{'log_reg__C': 1.2, 'log_reg__penalty': 'elasticnet', 'tfidf_vectorizer__ngram_range': (1, 3)}",,,,,,,,22,,,,,,,
